# LANGUAGEMGR
System.LanguagesName.EN:					Englisch
System.LanguagesName.FR:					Französisch
System.LanguagesName.DE:					Deutsch
System.LanguagesName.ES:					Spanisch
System.LanguagesName.CZ:					Tschechisch
System.LanguagesName.IT:					Italienisch

# Miscellaneous Language
Language.Hours.Short:								{0}h
Language.Minutes.Short:								{0}min
Language.Seconds.Short:								{0}s
Language.Hours.Long:								{0} Stunden
Language.Minutes.Short:								{0} Minuten
Language.Seconds.Short:								{0} Sekunden
Language.NotApplicable:								N/A

Language.Time.Long:                                 0 Sekunden
Language.Time.LongH:                                {0:%h} Stunden
Language.Time.Longh:                                {0:%h} Stunde
Language.Time.LongHM:                               {0:%h} Stunden und {0:%m} Minuten
Language.Time.LongHm:                               {0:%h} Stunden und {0:%m} Minute
Language.Time.LonghM:                               {0:%h} Stunde und {0:%m} Minuten
Language.Time.Longhm:                               {0:%h} Stunde und {0:%m} Minute
Language.Time.LongHMS:                              {0:%h} Stunden, {0:%m} Minuten und {0:%s} Sekunden
Language.Time.LongHMs:                              {0:%h} Stunden, {0:%m} Minuten und {0:%s} Sekunde
Language.Time.LongHmS:                              {0:%h} Stunden, {0:%m} Minute und {0:%s} Sekunden
Language.Time.LongHms:                              {0:%h} Stunden, {0:%m} Minute und {0:%s} Sekunde
Language.Time.LonghMS:                              {0:%h} Stunde, {0:%m} Minuten und {0:%s} Sekunden
Language.Time.LonghMs:                              {0:%h} Stunde, {0:%m} Minuten und {0:%s} Sekunde
Language.Time.LonghmS:                              {0:%h} Stunde, {0:%m} Minute und {0:%s} Sekunden
Language.Time.Longhms:                              {0:%h} Stunde, {0:%m} Minute und {0:%s} Sekunde
Language.Time.LongM:                                {0:%m} Minuten
Language.Time.Longm:                                {0:%m} Minute
Language.Time.LongMS:                               {0:%m} Minuten und {0:%s} Sekunden
Language.Time.LongMs:                               {0:%m} Minuten und {0:%s} Sekunde
Language.Time.LongmS:                               {0:%m} Minute und {0:%s} Sekunden
Language.Time.Longms:                               {0:%m} Minute und {0:%s} Sekunde
Language.Time.LongS:                                {0:%s} Sekunden
Language.Time.Longs:                                {0:%s} Sekunde

Language.Mithril.Amount:						{0} Mithril
Language.Platinum.Amount:						{0} Platin
Language.Gold.Amount:							{0} Gold
Language.Silver.Amount:							{0} Silber
Language.Copper.Amount:							{0} Kupfer

Language.Systems.Spell:							Zauber

# Stats
Language.Resists:								Resistenzen
Language.DamageType.Natural.Noun:				Natur
Language.DamageType.Crush.Noun:					Schlag
Language.DamageType.Slash.Noun:					Schnitt
Language.DamageType.Thrust.Noun:				Stich
Language.DamageType.Body.Noun:					Körper
Language.DamageType.Cold.Noun:					Kälte
Language.DamageType.Energy.Noun:				Energie
Language.DamageType.Heat.Noun:					Hitze
Language.DamageType.Matter.Noun:				Materie
Language.DamageType.Spirit.Noun:				Geist
Language.DamageType.Falling.Noun:				Sturz
Language.DamageType.GM.Noun:					Roh

Language.DamageType.Melee.Noun:					Alle Nahkampfschäden
Language.DamageType.Spell.Noun:					Alle Zauberschäden
Language.DamageType.DoT.Noun:					Schaden-über-Zeit-Zauber

Language.DamageType.Natural.Damage:				Naturschaden
Language.DamageType.Crush.Damage:				Schlagschaden
Language.DamageType.Slash.Damage:				Schnittschaden
Language.DamageType.Thrust.Damage:				Stichschaden
Language.DamageType.Body.Damage:				Körperschaden
Language.DamageType.Cold.Damage:				Kälteschaden
Language.DamageType.Energy.Damage:				Energieschaden
Language.DamageType.Heat.Damage:				Hitzeschaden
Language.DamageType.Matter.Damage:				Materieschaden
Language.DamageType.Spirit.Damage:				Geistschaden
Language.DamageType.Falling.Damage:				Sturzschaden
Language.DamageType.GM.Damage:					Rohschaden

Language.DamageType.Melee.Damage:				Nahkampfschaden
Language.DamageType.Spell.Damage:				Zauberschaden
Language.DamageType.DoT.Damage:					Schaden-über-Zeit

# Target
Language.SpellTarget.Realm:						Reich
Language.SpellTarget.Self:						selbst
Language.SpellTarget.Enemy:						Feind
Language.SpellTarget.Pet:						Begleiter
Language.SpellTarget.Group:						Gruppe
Language.SpellTarget.Area:						Gebiet
Language.SpellTarget.Corpse:					Leiche
Language.SpellTarget.Unknown:					unbekanntes Ziel

# /horse
HorseEmote.graze.NoTargetToOthers:				{0} lässt {1} Reittier grasen.
HorseEmote.graze.NoTargetToSource:				Du lässt dein Reittier grasen.

HorseEmote.pet.NoTargetToOthers:				{0} streichelt {1} Reittier.
HorseEmote.pet.NoTargetToSource:				Du streichelst dein Reittier.

HorseEmote.trick.ToOthers:					{0} stellt sich auf {2} Reittier, um {1} zu beeindrucken.
HorseEmote.trick.ToSource:					Du stellst dich auf dein Reittier, um {0} zu beeindrucken.
HorseEmote.trick.NoTargetToOthers:			{0} stellt sich auf {1} Reittier, um alle zu beeindrucken.
HorseEmote.trick.NoTargetToSource:			Du stellst dich auf dein Reittier, um alle zu beeindrucken.

Language.InternalError:						Ein Serverfehler ist aufgetreten, während versucht wurde, diese Aktion abzuschließen; bitte kontaktiert das Server-Team.

# Server Intro RPG message
